,Fermi.name,Spectral.Index,Radio.flux.mJy.,flux_density,curve_significance,flux_100_300_mev,flux_0p3_1_gev,flux_10_100_gev,variability_index,Optical.Class
320,3FGL J1911.4-1908,1.7699,440.3572,2.60E-14,1.038,4.61E-12,1.01E-09,1.07E-10,49.011593, bll 
321,3FGL J1912.6-1223,2.4921,126.427,3.79E-12,0.733,3.28E-08,5.01E-09,5.19E-11,84.03363, bll 
322,3FGL J1913.9+4441,1.8509,15.5529,3.10E-14,1.555,2.34E-09,4.76E-10,6.51E-11,30.250566, bll 
323,3FGL J1918.0+3750,2.1919,9.5334,1.01E-13,0.179,3.73E-09,7.43E-10,1.84E-11,30.777674, bll 
324,3FGL J1935.5+8355,2.3476,430.4995,4.36E-13,0.246,7.04E-09,9.18E-10,1.25E-11,45.366081, bll 
325,3FGL J1939.6-4925,1.624,10.2,8.98E-15,2.252,3.31E-13,9.87E-15,3.10E-11,41.804142, bll 
326,3FGL J1941.2-6210,2.4324,1831,4.32E-12,2.481,1.72E-08,6.91E-09,1.58E-11,224.400803, bll 
327,3FGL J1941.8+7218,2.5441,233.4538,2.67E-12,3.398,1.62E-08,3.90E-09,2.97E-12,97.0439, bll 
328,3FGL J1944.1-4523,1.5597,67.3,1.63E-15,1.405,2.75E-09,3.92E-11,2.70E-11,38.969093, bll 
329,3FGL J1949.4-6140,2.3081,218.9,1.16E-13,0.394,1.46E-08,6.66E-10,7.74E-12,62.637783, bll 
330,3FGL J1954.9-5640,1.8783,8.4,2.59E-14,2.39,9.15E-09,8.26E-10,5.63E-11,44.083576, bll 
331,3FGL J1955.0-1605,2.047,24.7983,1.22E-13,0.6,7.24E-09,2.43E-09,5.69E-11,31.213099, bll 
332,3FGL J1955.9+0212,1.9273,32.1111,2.95E-14,0.302,7.06E-13,1.52E-09,5.58E-11,40.503643, bll 
333,3FGL J1959.8-4725,1.5237,23.8,2.91E-13,3.919,1.05E-09,1.03E-09,1.39E-10,49.563442, bll 
334,3FGL J2002.7+6303,2.127,11.6174,4.46E-14,1.845,5.56E-09,1.20E-09,3.39E-11,43.08514, bll 
335,3FGL J2007.7-7728,2.6831,233.2,5.85E-12,0.936,1.88E-08,2.50E-09,1.53E-15,115.556145, bll 
336,3FGL J2014.5+0648,1.9152,15.9489,3.73E-14,0.661,4.00E-10,2.56E-09,7.87E-11,44.69957, fsrq 
337,3FGL J2014.9+1623,2.4098,483.7305,4.93E-13,1.111,9.63E-09,1.88E-09,3.45E-11,54.134186, fsrq 
338,3FGL J2017.6-4110,2.1596,144.1,5.75E-14,0.518,3.31E-09,1.32E-09,3.48E-11,38.944038, fsrq 
339,3FGL J2024.4-0848,1.7026,37.0876,1.55E-14,0.777,4.12E-11,8.21E-10,8.38E-11,63.300388, bll 
340,3FGL J2026.3+7644,1.8392,6.3788,4.53E-15,0.311,1.50E-11,2.68E-10,8.50E-12,31.963978, fsrq 
341,3FGL J2031.0+1937,1.8257,56.7791,4.24E-14,1.934,1.18E-09,4.63E-10,7.57E-11,46.866783, fsrq 
342,3FGL J2036.6-3325,1.3049,3.5204,1.01E-15,2.042,4.68E-12,1.20E-10,6.11E-11,27.753672, fsrq 
343,3FGL J2040.0-5734,2.2694,865.8,1.31E-13,0.145,6.42E-11,1.66E-09,5.13E-12,42.407448, bll 
344,3FGL J2040.2-7115,1.7978,494.2,3.87E-14,0.69,3.91E-09,6.54E-10,8.71E-11,41.645527, bll 
345,3FGL J2041.9-7318,2.2098,33.4,1.23E-13,3.349,1.18E-08,1.30E-09,3.41E-11,53.20702, fsrq 
346,3FGL J2046.7-1011,1.6092,106.086,5.72E-15,1.133,1.86E-13,1.98E-10,4.45E-11,35.464237, bll 
347,3FGL J2049.0-6801,2.059,354.8,5.65E-14,1.982,5.67E-09,2.29E-10,2.12E-11,48.985771, bll 
348,3FGL J2049.7+1002,2.4033,274.6816,1.69E-12,1.369,1.95E-08,3.90E-09,2.14E-11,77.753281, fsrq 
349,3FGL J2051.8-5535,2.5773,388.4,1.29E-12,1.205,1.73E-08,1.43E-09,2.56E-11,87.511093, fsrq 
350,3FGL J2103.9-3546,2.3631,74.5751,1.41E-12,0.646,1.31E-08,2.11E-09,1.40E-11,117.296349, bll 
351,3FGL J2103.9-6233,1.9754,83.5,5.02E-13,2.2,3.27E-09,3.70E-09,8.65E-11,76.515244, bll 
352,3FGL J2104.2-0211,1.524,14.1323,3.23E-15,2.168,1.01E-11,2.88E-13,4.41E-11,33.705479, fsrq 
353,3FGL J2106.1+2505,2.5277,121.2091,9.77E-13,1.462,6.16E-09,2.55E-09,1.23E-11,52.058136, bll 
354,3FGL J2107.7-4822,2.7112,45.8,2.25E-12,0.825,1.55E-08,1.37E-09,1.92E-11,44.649982, bll 
355,3FGL J2109.1-6638,2.0057,327,1.91E-13,0.728,8.46E-09,1.43E-09,5.23E-11,55.071064, bll 
356,3FGL J2112.7+0819,1.8063,23.5232,2.80E-14,0.875,1.07E-09,2.90E-09,8.10E-11,50.958729, bll 
357,3FGL J2114.7+3130,2.349,402.3774,2.74E-13,0.188,6.83E-09,2.05E-09,8.40E-12,34.257652, bll 
358,3FGL J2118.0-3241,2.3106,22.892,3.43E-14,1.538,1.01E-08,1.31E-09,2.44E-11,38.791115, fsrq 
359,3FGL J2119.2-3313,2.3516,67.6,7.98E-14,0.469,3.06E-11,1.24E-09,1.93E-11,45.909473, bll 
360,3FGL J2126.5-3926,2.203,77.5896,1.24E-13,1.585,4.53E-11,6.67E-10,2.28E-15,39.428303, bll 
361,3FGL J2132.4-5420,2.6344,73,6.65E-12,0.42,2.00E-08,3.80E-09,9.09E-12,127.521851, bll 
362,3FGL J2133.3+2533,2.0097,39.848,2.26E-14,0.404,7.24E-09,4.23E-10,2.41E-11,40.55809, bll 
363,3FGL J2141.6-6412,2.4952,187.8,6.07E-12,2.986,2.05E-08,5.49E-09,3.79E-14,314.982239, bll 
364,3FGL J2142.2-2546,2.2312,216.0021,3.64E-13,1.81,4.52E-09,1.40E-09,8.98E-15,64.50666, bll 
365,3FGL J2144.2+3132,2.3622,81.4149,7.32E-13,1.081,1.23E-08,2.19E-09,4.36E-11,49.745365, bll 
366,3FGL J2149.6+1915,2.5686,144.2736,2.40E-12,1.002,1.66E-08,3.42E-09,3.41E-16,125.401711, bll 
367,3FGL J2156.0+1818,1.9141,33.3229,3.99E-14,1.2,2.15E-13,1.13E-09,3.37E-11,52.721409, fsrq 
368,3FGL J2159.2-2841,1.9378,20.2911,3.93E-14,0.572,7.17E-09,6.47E-10,2.83E-11,53.55246, fsrq 
369,3FGL J2212.3-7039,2.759,41.3,1.81E-12,2.474,1.00E-08,1.51E-09,5.43E-12,34.056358, bll 
370,3FGL J2212.6+2801,1.7905,144.9945,2.73E-14,1.61,9.17E-12,5.47E-10,7.04E-11,39.840408, bll 
371,3FGL J2213.6-4755,1.8894,27.3,2.25E-14,1.203,1.62E-09,2.19E-10,3.41E-11,36.508781, bll 
372,3FGL J2220.3+2812,1.8334,48.8719,1.17E-14,0.442,2.94E-09,3.56E-10,4.21E-11,37.917542, fsrq 
373,3FGL J2230.5-7817,2.508,657.9,3.61E-12,0.015,1.80E-08,2.89E-09,1.16E-11,86.618835, bll 
374,3FGL J2232.9-2021,2.081,12.5472,9.47E-14,0.102,8.17E-10,1.18E-09,1.84E-11,32.46228, fsrq 
375,3FGL J2233.5-1235,2.3726,493.8299,2.01E-13,0.174,4.16E-09,7.66E-10,1.61E-11,45.141834, bll 
376,3FGL J2234.1-2655,2.1873,99.9503,1.79E-13,0.909,7.78E-09,1.01E-09,3.19E-11,57.035046, bll 
377,3FGL J2235.6-2319,2.8172,397.8791,1.12E-11,2.322,1.68E-08,2.84E-09,2.05E-13,90.44146, fsrq 
378,3FGL J2236.2-5049,2.6066,36.8,1.52E-12,1.422,6.14E-09,1.73E-09,1.98E-16,38.260731, bll 
379,3FGL J2243.2-3933,2.1185,59.2581,8.08E-14,0.057,5.58E-09,8.44E-10,6.18E-12,33.885975, bll 
380,3FGL J2246.2+1547,2.1827,82.6025,7.03E-14,2.078,1.56E-08,2.39E-09,7.11E-11,67.544662, bll 
381,3FGL J2250.3-4206,2.0335,81.5,2.38E-13,2.186,5.11E-11,1.65E-09,2.02E-11,52.588043, bll 
382,3FGL J2250.7-2806,2.1773,305.5237,5.93E-12,2.696,4.01E-08,1.30E-08,1.61E-10,523.489685, fsrq 
383,3FGL J2251.5-4928,1.967,33.3,1.48E-13,2.592,3.89E-09,1.04E-09,4.72E-11,48.871193, fsrq 
384,3FGL J2258.1-8248,2.1938,57.8,2.12E-13,1.339,2.15E-09,1.99E-09,2.53E-11,54.801598, fsrq 
385,3FGL J2305.3-4219,2.0479,39.8,2.96E-14,0.441,4.71E-09,1.81E-10,1.40E-11,41.086418, fsrq 
386,3FGL J2309.6-3633,1.8544,90.9505,4.79E-14,0.344,8.14E-09,8.94E-10,4.25E-11,59.831036, fsrq 
387,3FGL J2312.9-6923,1.804,12.2,8.50E-15,1.845,4.42E-09,7.11E-15,1.98E-11,38.066696, fsrq 
388,3FGL J2316.8-5209,1.7349,25.6,7.22E-15,0.463,3.64E-09,4.51E-10,3.12E-11,34.890446, bll 
389,3FGL J2317.3-4534,2.1861,39.9,6.55E-13,0.815,1.07E-08,2.09E-09,4.41E-11,68.091125, bll 
390,3FGL J2318.6+1912,2.7411,245.2466,5.21E-12,1.674,1.49E-08,1.89E-09,2.67E-15,55.088737, bll 
391,3FGL J2321.2-6439,2.4009,115.7,1.84E-13,1.482,5.43E-09,6.65E-10,1.26E-11,45.322266, fsrq 
392,3FGL J2322.9-4917,1.9573,28.3,5.64E-14,2.005,1.73E-13,1.28E-09,3.82E-11,43.023327, bll 
393,3FGL J2328.4-4034,2.3086,291.3,3.35E-12,2.695,2.47E-08,9.04E-09,5.39E-11,384.758545, bll 
394,3FGL J2336.5-7620,2.3302,154.1,5.57E-13,0.095,6.15E-09,1.86E-09,2.98E-11,45.929417, bll 
395,3FGL J2336.5+2356,2.1337,434.1748,7.00E-14,0.727,5.65E-09,6.64E-10,3.32E-11,40.032265, bll 
396,3FGL J2338.7-7401,1.8879,52.3,6.77E-14,0.003,5.81E-09,1.09E-09,5.98E-11,75.611435, fsrq 
397,3FGL J2344.4+0549,2.1931,19.2441,1.48E-13,1.78,1.95E-09,4.87E-10,7.85E-14,35.611668, fsrq 
398,3FGL J2346.7+0705,1.7787,302.7957,6.12E-14,0.347,2.34E-11,2.34E-09,1.31E-10,54.085899, fsrq 
399,3FGL J2348.4-5100,2.3057,41.4,3.77E-13,2.018,4.53E-09,1.20E-09,2.07E-15,61.636791, bll 
400,3FGL J2353.3-4805,2.0105,88.5,4.00E-14,2.282,1.02E-09,6.61E-11,1.64E-11,28.627998, bll 
